accession	ec_numbers	KM_values	pH_optima	Topt
Q06HA3	3.2.1.14			
Q08IT7	3.2.1.21	0.019;0.025;0.025;0.032		
Q0GA07	3.2.1.21	0.05;4.84;6.05		
Q0GC07	3.2.1.21	0.042;0.047;0.06;0.08;0.09;0.17		
Q0WT03	3.2.1.14			
Q0WYK2	3.2.1.14			
Q0Z942	3.2.1.14			
Q0ZUL0	3.2.1.21	0.37;3.25;0.24;1.25		
Q12713	3.2.1.14			
Q1EM71	3.2.1.14	0.009;0.129		
Q1EMA6	3.2.1.73			
Q1ERF7	3.2.1.39			
Q1ERF8	3.2.1.39			
Q1ERF9	3.2.1.39			
Q1ERG0	3.2.1.39			
Q1ERG1	3.2.1.39			
Q1ERG2	3.2.1.39			
Q1JUL0	3.2.1.14			
Q1JUL1	3.2.1.14			
Q1XH04	3.2.1.21			
Q1XH05	3.2.1.21			
Q1XIR9	3.2.1.21			
Q21GC8	3.2.1.75			
Q21KE5	3.2.1.73			
Q25BN2	3.2.1.14			
Q25BT4	3.2.1.14			
Q25BW4	3.2.1.21	0.619;4.02		
Q25BW5	3.2.1.21	0.229;0.752;10.2;13.3;21.0;46.5;6.8;9.22;114.0		
Q2I0I7	3.2.1.14			
Q2UIR4	3.2.1.21			
Q2UL94	3.2.1.21			
Q2UUD6	3.2.1.21			
Q2V6H4	3.2.1.14			
Q2WGB4	3.2.1.21	9.1		
Q2Z1W1	3.2.1.58			
Q3HXC2	3.2.1.21			
Q3YLC5	3.2.1.14			
Q41539	3.2.1.14			
Q42835	3.2.1.58	1.4		
Q42839	3.2.1.14			
Q43576	3.2.1.14			
Q45648	3.2.1.73			
Q45691	3.2.1.73			
Q45FX7	3.2.1.21			
Q47SE9	3.2.1.14			
Q4AE57	3.2.1.14			
Q4AE58	3.2.1.14			
Q4AE59	3.2.1.14			
Q4AE60	3.2.1.14			
Q4AE61	3.2.1.14			
Q4FCS2	3.2.1.39			
Q4U4W7	3.2.1.21	0.02		
Q4W6L6	3.2.1.14			
Q4WCM9	3.2.1.73			
